,task,mse,mae
5,task_6,93170673372.11172,243613.93653843328
3,task_4,95940376290.64673,247269.71457232817
6,task_7,97264683249.63417,248714.2841155094
9,task_10,99814123537.48503,251895.35892040483
4,task_5,104795483945.53874,258435.48221860334
7,task_8,160029303305.38205,318236.48934428894
10,task_11,160032988422.9874,318240.8067757689
1,task_2,160384013341.89783,318617.813392232
11,task_12,162453557974.6896,320774.10475240776
2,task_3,191649091029.7774,349113.3089042872
8,task_9,278729214569.84094,418249.77297371184
0,task_1,278731546658.1646,418251.5164154574
12,task_13,753230225974.5249,734626.2796196049
13,task_14,753275637972.2067,734651.9648510757
